 11 20 03,25	-14 50 16,83	 11 20 02,90	-14 50 17,40	-00 00 07,85	 00 01 01,74	0.0	-5.8	 11 19 56,83	-14 50 47,46	 00 23 54,12	 11 43 50,95	01 06 53	HR4382	11 19 20.5	-14 46 43	20,5	71	1010,2	22,9	61	15,1	0,0	---		26
 11 33 40,07	-31 54 57,08	 11 33 39,69	-31 54 52,70	-00 00 07,85	 00 01 01,74	4.7	-4.1	 11 33 36,00	-31 55 22,24	 00 12 14,10	 11 45 50,11	01 08 52	HR4450	11 33 00.1	-31 51 28	20,5	71	1010,2	22,9	61	15,1	0,0	---		26
 11 33 40,21	-31 54 55,37	 11 33 39,19	-31 54 52,60	-00 00 07,85	 00 01 01,74	-1.3	-12.3	 11 33 36,31	-31 55 22,39	 00 29 23,05	 12 02 59,36	01 25 58	HR4450	11 33 00.1	-31 51 28	20,5	71	1010,2	22,9	61	15,1	0,0	---		26
 14 38 41,22	-49 27 56,61	 14 38 43,34	-49 27 52,29	-00 00 07,85	 00 01 01,74	4.7	21.2	 14 38 38,07	-49 28 12,19	-02 33 12,30	 12 05 25,76	01 28 24	HR5453	14 37 53.2	-49 25 33	20,5	71	1010,2	22,9	61	15,1	0,0	---		26
 10 38 16,15	-13 26 24,62	 10 38 15,55	-13 26 25,40	-00 00 07,85	 00 01 01,74	0.0	-9.4	 10 38 09,98	-13 27 03,30	 01 29 15,58	 12 07 25,56	01 30 24	HR4163	10 37 33.2	-13 23 04	20,4	71	1010,4	22,9	61	15,0	0,0	---		26
 10 37 53,17	-27 27 56,88	 10 37 52,46	-27 27 54,70	-00 00 07,85	 00 01 01,74	3.6	-8.6	 10 37 49,07	-27 28 32,43	 01 31 12,37	 12 09 01,45	01 31 59	HR4162	10 37 13.7	-27 24 45	20,4	71	1010,4	22,9	61	15,0	0,0	---		26
 10 38 16,20	-13 26 24,33	 10 38 15,51	-13 26 25,20	-00 00 07,85	 00 01 01,74	0.0	-9.4	 10 38 10,04	-13 27 03,42	 01 32 07,85	 12 10 17,89	01 33 15	HR4163	10 37 33.2	-13 23 04	20,4	71	1010,4	22,9	61	15,0	0,0	---		26
 10 20 50,60	 19 46 51,47	 10 20 49,05	 19 46 38,60	-00 00 07,85	 00 01 01,74	-13.1	-21.7	 10 20 40,11	 19 45 59,79	 01 51 21,59	 12 12 01,70	01 34 59	HR4057	10 19 58.3	+19 50 30	20,4	71	1010,4	22,9	61	15,0	0,0	---		26
 11 49 50,89	 14 30 18,61	 11 49 49,82	 14 30 02,60	-00 00 07,85	 00 01 01,74	-16.8	-14.0	 11 49 40,74	 14 29 38,15	 00 24 14,27	 12 13 55,01	01 36 52	HR4534	11 49 03.6	+14 34 19	20,4	71	1010,4	22,9	61	15,0	0,0	---		26
 13 53 57,71	-31 58 45,52	 13 53 59,01	-31 58 45,40	-00 00 07,85	 00 01 01,74	-0.0	16.4	 13 53 52,47	-31 59 03,47	-01 37 47,08	 12 16 05,39	01 39 02	HR5221	13 53 12.5	-31 55 40	20,4	71	1010,4	22,9	61	15,0	0,0	---		26
 11 46 38,13	 06 27 52,53	 11 46 37,41	 06 27 43,20	-00 00 07,85	 00 01 01,74	-9.5	-9.6	 11 46 29,06	 06 27 14,19	 00 31 32,83	 12 18 01,89	01 40 58	HR4517	11 45 51.6	+06 31 46	19,6	77	1010,8	22,9	61	15,4	0,0	---		26
 10 49 26,25	-02 01 02,01	 10 49 25,66	-02 01 10,90	-00 00 07,85	 00 01 01,74	-9.5	-9.7	 10 49 18,58	-02 01 44,17	 01 30 43,99	 12 20 02,57	01 42 58	HR4224	10 48 40.6	-01 57 32	19,6	77	1010,8	22,9	61	15,4	0,0	---		26
 11 40 52,93	-34 48 05,19	 11 40 52,01	-34 47 58,20	-00 00 07,85	 00 01 01,74	9.5	-11.9	 11 40 49,67	-34 48 32,86	 00 41 17,18	 12 22 06,84	01 45 02	HR4494	11 40 12.8	-34 44 41	19,6	77	1010,8	22,9	61	15,4	0,0	---		26
